Scheduled time,Updated time,Arrival city,Airline,Flight number,Gate,Status,Distance,Price,,,,,,,,,,,,,
1:50 PM,1:50 PM,"Rochester,NY",Southwest,1139,B2,ON TIME,277,55.40,,,,,,,,,,,,,
5:35 PM,5:35 PM,"Rochester,NY",Southwest,3109,B12,ON TIME,277,55.40,,,,,,,,,,,,,
7:20 AM,7:20 AM,Salt Lake City,Delta,1176,D23,DEPARTED,1865,373.00,,,,,,,,,,,,,
11:15 AM,11:15 AM,Salt Lake City,Southwest,1564,B10,ON TIME,1865,373.00,,,,,,,,,,,,,
8:30 AM,8:46 AM,San Antonio,Southwest,1780,B14,DEPARTED,1407,281.40,,,,,,,,,,,,,
12:20 PM,12:20 PM,San Antonio,Spirit Airlines,2003,D10,ON TIME,1407,281.40,,,,,,,,,,,,,
4:30 PM,4:30 PM,San Antonio,Southwest,1841,A13,ON TIME,1407,281.40,,,,,,,,,,,,,
8:10 PM,8:10 PM,San Antonio,Southwest,2676,B13,ON TIME,1407,281.40,,,,,,,,,,,,,
1:05 PM,1:05 PM,San Diego,Southwest,1322,B9,ON TIME,2295,459.00,,,,,,,,,,,,,
6:52 PM,6:52 PM,San Francisco,United,548,D13,ON TIME,2457,491.40,,,,,,,,,,,,,
8:25 AM,9:16 AM,San Juan,Southwest,1450,C8,DEPARTED,1565,313.00,,,,,,,,,,,,,
8:25 AM,8:41 AM,Sarasota,Southwest,2849,A10,DEPARTED,880,176.00,,,,,,,,,,,,,
12:25 PM,12:25 PM,Sarasota,Southwest,1274,A8,ON TIME,880,176.00,,,,,,,,,,,,,
2:30 PM,2:30 PM,Sarasota,Southwest,374,B9,ON TIME,880,176.00,,,,,,,,,,,,,
7:35 PM,7:35 PM,Sarasota,Southwest,2362,B10,ON TIME,880,176.00,,,,,,,,,,,,,
8:55 AM,9:05 AM,Savannah,Southwest,103,A15,DEPARTED,549,109.80,,,,,,,,,,,,,
7:45 PM,7:45 PM,Savannah,Southwest,3751,A15,ON TIME,549,109.80,,,,,,,,,,,,,
6:55 PM,6:55 PM,Seattle,Alaska,379,D20,,2335,467.00,,,,,,,,,,,,,
7:00 AM,8:20 AM,St. Louis,Southwest,1518,A9,DEPARTED,738,147.60,,,,,,,,,,,,,
12:35 PM,12:42 PM,St. Louis,Southwest,1515,A13,ON TIME,738,147.60,,,,,,,,,,,,,
4:45 PM,4:45 PM,St. Louis,Southwest,2082,B15,ON TIME,738,147.60,,,,,,,,,,,,,
10:50 AM,10:50 AM,Syracuse,Southwest,550,B2,ON TIME,273,54.60,,,,,,,,,,,,,
3:25 PM,3:25 PM,Syracuse,Southwest,2723,C9,ON TIME,273,54.60,,,,,,,,,,,,,
7:25 AM,7:46 AM,Tampa,Southwest,1978,C8,DEPARTED,842,168.40,,,,,,,,,,,,,
9:25 AM,9:28 AM,Tampa,Southwest,1310,C12,BOARDING,842,168.40,,,,,,,,,,,,,
12:35 PM,12:35 PM,Tampa,Southwest,3454,A12,ON TIME,842,168.40,,,,,,,,,,,,,
2:20 PM,2:20 PM,Tampa,Southwest,1982,C12,ON TIME,842,168.40,,,,,,,,,,,,,
6:10 PM,6:10 PM,Tampa,Southwest,3680,B7,ON TIME,842,168.40,,,,,,,,,,,,,
7:35 PM,7:35 PM,Tampa,Southwest,2355,B6,ON TIME,842,168.40,,,,,,,,,,,,,
